n#010711,n02065599
v#011896,v02384041
n#013874,n02608547
n#026261,n04710390
n#001843,n00376825
n#045422,n08344756
n#032785,n05998356
n#062408,n11485681
n#029133,n05274446
n#054407,n10090498
n#075260,n14058563
n#020497,n03725198
n#010835,n02087394
n#017289,n03185868
n#004207,n00827379
n#028749,n05199151
n#027329,n04926728
n#024222,n04352435
v#007223,v01455754
n#028219,n05094565
r#000113,r00022829
n#036519,n06769670
n#021529,n03902482
n#028558,n05160574
n#017481,n03218100
n#053159,n09875786
n#000895,n00195938
a#016526,a02903793
n#074111,n13841213
v#008566,v01720980
v#007807,v01571354
n#026730,n04808965
n#066651,n12405714
n#020530,n03730334
n#065594,n12179632
n#054187,n10052244
n#015310,n02853449
n#004386,n00862488
n#057950,n10685123
n#066931,n12465107
v#006109,v01249490
n#043387,n07923176
n#009090,n01778801
n#047003,n08678615
n#063399,n11723986
n#055089,n10195056
n#028320,n05113133
n#033266,n06128307
n#053678,n09964411
a#007614,a01397385
n#052813,n09823683
r#002048,r00295545
n#078326,n14622491
n#002403,n00487326
v#010640,v02133185
n#059214,n10904639
n#025475,n04562262
n#064911,n12038038
n#039703,n07336763
n#071488,n13380309
n#075372,n14079493
n#036873,n06834780
n#077781,n14523787
n#073693,n13767350
a#013553,a02445863
n#055896,n10329251
n#074126,n13844212
n#032633,n05965749
n#081994,n15278691
a#016739,a02937108
n#043223,n07899769
n#075715,n14147212
a#003300,a00594146
a#008037,a01468420
n#012116,n02305407
a#004523,a00823350
n#028981,n05246511
n#072711,n13618418
n#017688,n03253398
n#042109,n07731006
n#026581,n04779336
a#017645,a03078753
n#050382,n09381880
n#067385,n12564840
n#032324,n05904313
n#043807,n08003717
n#037105,n06879180
n#024797,n04448070
n#029489,n05343718
n#031715,n05779568
v#006912,v01394464
n#060951,n11221778
n#050428,n09391644
n#008855,n01729533
a#003589,a00645982
a#014973,a02675446
n#067802,n12649065
n#046826,n08641944
n#016515,n03052917
n#028672,n05184082
v#013644,v02749405
n#035267,n06535980
n#066450,n12363301
n#024217,n04351550
a#000522,a00099097
v#007714,v01552219
v#007588,v01527271
n#049000,n09117351
a#005572,a01018788
v#002549,v00521748
v#010387,v02083806
n#032393,n05918379
n#067305,n12547872
a#007158,a01313929
n#031421,n05719605
n#067581,n12604639
a#015525,a02754327
n#063587,n11762927
n#077701,n14508578
n#027755,n05003273
n#007406,n01455461
n#063339,n11711289
n#072563,n13589140
n#071289,n13344804
n#023881,n04293902
n#072351,n13545973
n#077680,n14504889
n#073265,n13701094
n#074232,n13863020
n#078422,n14645661
n#003160,n00624436
v#001813,v00371717
n#078294,n14616292
a#015511,a02752496
n#065306,n12121835
v#010246,v02055649
a#013697,a02472252
n#038606,n07133701
n#036313,n06728034
n#037256,n06905513
v#010052,v02018265
r#002833,r00415496
a#005917,a01078932
n#038711,n07153641
n#082625,n80000511
n#076090,n14219394
a#005787,a01057103
n#013993,n02629048
n#078948,n14747168
r#001080,r00162137
n#001896,n00387526
n#072422,n13560191
v#000267,v00054535
v#005261,v01089137
n#031108,n05657515
n#063927,n11833999
a#004578,a00833334
n#064043,n11858406
n#063031,n11647548
a#018127,a03151711
a#013048,a02355398
n#000321,n00087849
n#003059,n00605616
n#057644,n10633450
v#008427,v01692443
n#038181,n07051185
n#065477,n12154426
a#003478,a00625170
n#042912,n07854266
v#005100,v01058995
n#049222,n09158897
n#035928,n06658786
n#015765,n02928049
n#052200,n09717233
n#058430,n10759151
n#001228,n00262596
v#008954,v01800195
n#054387,n10085970
n#058403,n10755394
v#004078,v00842772
n#043588,n07957655
v#007406,v01492052
v#002649,v00538454
n#064710,n11995396
n#043714,n07987580
n#019697,n03594734
a#011621,a02122379
n#073613,n13753274
n#045813,n08419033
n#070230,n13154586
a#008638,a01574925
a#014093,a02539968
v#001865,v00382010
n#021531,n03902756
a#000236,a00046471
v#004626,v00961586
n#035755,n06626183
n#028808,n05211044
n#079189,n14786943
a#001776,a00320847
n#073403,n13719410
n#044267,n08112096
n#041261,n07609316
v#001323,v00276601
r#003287,r00476402
n#025270,n04527475
a#001005,a00185921
n#010345,n02003577
n#034407,n06370178
a#001695,a00306909
n#077075,n14387202
a#008599,a01566634
n#054246,n10062716
a#001782,a00321691
n#020944,n03806040
v#006846,v01383089
n#005040,n00990843
n#042415,n07779263
n#079427,n14828396
a#014436,a02598768
a#012279,a02222965
n#067212,n12527738
n#038110,n07040543
a#011092,a02024928
n#034510,n06387538
a#005529,a01009865
a#013202,a02384672
n#083211,n80001105
n#051008,n09501737
n#046649,n08604721
v#010953,v02195751
v#009616,v01935104
a#003980,a00718924
n#040078,n07405579
v#007198,v01450792
n#080419,n14998421
n#053742,n09973749
n#048413,n08996284
n#043406,n07925500
n#075428,n14090245
v#001098,v00231445
n#081875,n15256714
a#011921,a02169359
n#073483,n13732295
n#052646,n09789668
r#001312,r00193100
r#002034,r00293253
n#041100,n07587111
a#005027,a00918616
v#000809,v00177136
n#013209,n02490030
r#003054,r00445374
n#057117,n10543161
n#049672,n09245650
v#000914,v00194696
n#078204,n14600238
n#051922,n09672725
n#020384,n03708425
n#040626,n07502387
n#048724,n09066948
n#014598,n02737351
n#048118,n08935978
a#004384,a00796591
n#069912,n13081229
v#010557,v02115430
n#049080,n09132163
n#049816,n09273130
n#007273,n01424420
v#003807,v00779804
a#005484,a01002055
n#057065,n10535047
r#002674,r00392246
n#082612,n80000498
v#007720,v01554165
a#009713,a01770726
a#005707,a01041916
v#004241,v00880102
n#014447,n02707344
v#006528,v01323958
n#018380,n03374649
n#015977,n02964196
n#039141,n07234657
v#006345,v01290009
a#009020,a01647829
n#081969,n15274074
n#077839,n14534571
n#012651,n02394822
n#039851,n07365024
n#016726,n03090000
n#052241,n09723361
a#002163,a00385059
n#012742,n02410900
r#000743,r00119230
n#043198,n07896560
n#057955,n10685685
n#065043,n12069217
n#069992,n13096317
n#004548,n00892413
n#082583,n80000469
n#012441,n02363005
n#072692,n13615557
n#017000,n03138128
n#014147,n02655694
n#066122,n12297846
a#007531,a01383582
n#011076,n02125872
n#065019,n12063887
v#011544,v02317548
r#002192,r00319931
n#076984,n14371913
n#050432,n09392402
r#001742,r00253794
n#044809,n08228980
n#081524,n15194739
r#001651,r00242172
n#059301,n10920832
n#002537,n00513952
n#019620,n03582305
n#002486,n00505126
n#065200,n12100187
v#002826,v00571273
r#001170,r00173992
n#047807,n08855609
n#027076,n04878434
r#000028,r00005779
n#006002,n01173569
v#004202,v00871195
n#063225,n11688552
n#042345,n07767549
n#053501,n09932616
a#001615,a00291338
n#031356,n05706954
n#048719,n09066249
r#003386,r00489425
a#014345,a02584981
a#017289,a03021693
n#040241,n07434942
n#042528,n07796468
n#076088,n14219187
r#003316,r00480079
a#008338,a01519284
r#001458,r00213875
r#003207,r00465418
n#024135,n04336792
a#003392,a00612383
v#003177,v00644066
v#005515,v01137138
a#013173,a02379157
v#003024,v00608670
n#027177,n04897152
r#001222,r00181075
n#065280,n12116881
v#008768,v01760300
a#007857,a01437752
n#038035,n07027090
n#061123,n11254028
a#016929,a02967990
v#002174,v00446695
n#033177,n06108339
n#035371,n06556150
n#083015,n80000901
v#000788,v00171339
n#024787,n04446162
v#002255,v00463234
n#023424,n04223778
a#017036,a02984491
n#012227,n02325211
n#055544,n10272782
a#013189,a02381963
a#013094,a02364834
n#041473,n07638226
v#012507,v02514881
n#082886,n80000772
n#045964,n08459252
n#059205,n10902934
n#053661,n09961739
n#066749,n12427391
n#001146,n00247342
v#011849,v02374099
n#051594,n09603471
n#035050,n06495948
r#002639,r00387254
v#009930,v01993805
n#029956,n05433400
n#035538,n06589151
n#069881,n13075020
n#070380,n13181988
n#059384,n10936567
n#016572,n03062245
n#018946,n03466839
v#003906,v00801977
n#072250,n13524925
v#003716,v00759657
a#012744,a02301489
n#046174,n08499504
n#073868,n13797747
v#003607,v00737193
a#016985,a02976983
a#008044,a01469516
n#003404,n00670105
n#018063,n03323319
n#022461,n04061681
n#051523,n09591450
v#003584,v00732552
n#047177,n08719705
n#028349,n05119367
n#060162,n11082353
n#009896,n01922303
n#060408,n11129017
n#056507,n10437262
n#028907,n05232972
